case_id,head_idx,threshold,label_available,gt_is_positive,pred_is_positive,dice,iou,precision,recall,intersection_pixels,pred_foreground_pixels,gt_foreground_pixels,total_pixels
siim_009074,0,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,0,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,0,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,0,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,0,0.15,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,0,0.15,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,0,0.2,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,0,0.2,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,0,0.25,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,0,0.25,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,0,0.3,True,False,True,0.0,0.0,0.0,0.0,0,216496,0,262144
siim_009075,0,0.3,True,False,True,0.0,0.0,0.0,0.0,0,259115,0,262144
siim_009074,0,0.35,True,False,True,0.0,0.0,0.0,0.0,0,41975,0,262144
siim_009075,0,0.35,True,False,True,0.0,0.0,0.0,0.0,0,90933,0,262144
siim_009074,0,0.4,True,False,True,0.0,0.0,0.0,0.0,0,3713,0,262144
siim_009075,0,0.4,True,False,True,0.0,0.0,0.0,0.0,0,6177,0,262144
siim_009074,0,0.45,True,False,True,0.0,0.0,0.0,0.0,0,1477,0,262144
siim_009075,0,0.45,True,False,True,0.0,0.0,0.0,0.0,0,1511,0,262144
siim_009074,0,0.5,True,False,True,0.0,0.0,0.0,0.0,0,20,0,262144
siim_009075,0,0.5,True,False,True,0.0,0.0,0.0,0.0,0,12,0,262144
siim_009074,0,0.55,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.55,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.6,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.6,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.65,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.65,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,0,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,0,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.15,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.15,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.2,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.2,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.25,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.25,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.3,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.3,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.35,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.35,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.4,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.4,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,1,0.45,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,1,0.45,True,False,True,0.0,0.0,0.0,0.0,0,262140,0,262144
siim_009074,1,0.5,True,False,True,0.0,0.0,0.0,0.0,0,262127,0,262144
siim_009075,1,0.5,True,False,True,0.0,0.0,0.0,0.0,0,262124,0,262144
siim_009074,1,0.55,True,False,True,0.0,0.0,0.0,0.0,0,259042,0,262144
siim_009075,1,0.55,True,False,True,0.0,0.0,0.0,0.0,0,258708,0,262144
siim_009074,1,0.6,True,False,True,0.0,0.0,0.0,0.0,0,134422,0,262144
siim_009075,1,0.6,True,False,True,0.0,0.0,0.0,0.0,0,108664,0,262144
siim_009074,1,0.65,True,False,True,0.0,0.0,0.0,0.0,0,16726,0,262144
siim_009075,1,0.65,True,False,True,0.0,0.0,0.0,0.0,0,265,0,262144
siim_009074,1,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,1,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,1,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.05,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.05,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.1,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.1,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.15,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.15,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.2,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.2,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.25,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.25,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.3,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.3,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.35,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.35,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.4,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.4,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.45,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.45,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.5,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.5,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.55,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.55,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.6,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.6,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.65,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.65,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.7,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.75,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.8,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.85,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.9,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,2,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,2,0.95,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009074,3,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,3,0.05,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,3,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009075,3,0.1,True,False,True,0.0,0.0,0.0,0.0,0,262144,0,262144
siim_009074,3,0.15,True,False,True,0.0,0.0,0.0,0.0,0,261828,0,262144
siim_009075,3,0.15,True,False,True,0.0,0.0,0.0,0.0,0,260399,0,262144
siim_009074,3,0.2,True,False,True,0.0,0.0,0.0,0.0,0,140217,0,262144
siim_009075,3,0.2,True,False,True,0.0,0.0,0.0,0.0,0,57183,0,262144
siim_009074,3,0.25,True,False,True,0.0,0.0,0.0,0.0,0,10465,0,262144
siim_009075,3,0.25,True,False,True,0.0,0.0,0.0,0.0,0,10429,0,262144
siim_009074,3,0.3,True,False,True,0.0,0.0,0.0,0.0,0,4106,0,262144
siim_009075,3,0.3,True,False,True,0.0,0.0,0.0,0.0,0,4160,0,262144
siim_009074,3,0.35,True,False,True,0.0,0.0,0.0,0.0,0,2141,0,262144
siim_009075,3,0.35,True,False,True,0.0,0.0,0.0,0.0,0,2292,0,262144
siim_009074,3,0.4,True,False,True,0.0,0.0,0.0,0.0,0,20,0,262144
siim_009075,3,0.4,True,False,True,0.0,0.0,0.0,0.0,0,22,0,262144
siim_009074,3,0.45,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
siim_009075,3,0.45,True,False,False,1.0,1.0,1.0,1.0,0,0,0,262144
