case_id,stage,observed_shape,min,max,mean,std,nan_count,inf_count,infer_ms
siim_009589,0,"[1, 128, 128, 128]",-11.473236,7.753811,0.195369,1.083753,0,0,1375.1
siim_009589,1,"[1, 256, 64, 64]",-10.858976,20.048134,-0.064590,1.525322,0,0,1375.1
siim_009589,2,"[1, 512, 32, 32]",-488.518768,1022.367554,0.124319,11.278349,0,0,1375.1
siim_009589,3,"[1, 1024, 16, 16]",-471.370209,314.228149,0.030424,12.637510,0,0,1375.1
siim_009791,0,"[1, 128, 128, 128]",-11.527037,6.416182,-0.358646,1.023659,0,0,1336.8
siim_009791,1,"[1, 256, 64, 64]",-10.912981,19.997768,0.097481,1.540205,0,0,1336.8
siim_009791,2,"[1, 512, 32, 32]",-502.518433,1057.940430,0.174230,11.782586,0,0,1336.8
siim_009791,3,"[1, 1024, 16, 16]",-483.990082,322.109650,-0.004625,11.833867,0,0,1336.8
siim_009082,0,"[1, 128, 128, 128]",-13.083685,6.655909,-0.552736,1.062416,0,0,1296.3
siim_009082,1,"[1, 256, 64, 64]",-12.137114,20.353550,0.153053,1.566497,0,0,1296.3
siim_009082,2,"[1, 512, 32, 32]",-545.369385,1114.057617,0.147092,10.843034,0,0,1296.3
siim_009082,3,"[1, 1024, 16, 16]",-465.426056,299.671539,0.002840,12.428274,0,0,1296.3
siim_010023,0,"[1, 128, 128, 128]",-13.465024,7.895483,0.024792,1.198464,0,0,1220.2
siim_010023,1,"[1, 256, 64, 64]",-10.832412,20.655643,-0.032618,1.577634,0,0,1220.2
siim_010023,2,"[1, 512, 32, 32]",-498.875214,1058.224365,0.190772,11.645661,0,0,1220.2
siim_010023,3,"[1, 1024, 16, 16]",-480.018127,309.175293,0.002468,11.456753,0,0,1220.2
siim_009416,0,"[1, 128, 128, 128]",-13.588244,7.181737,-0.434789,1.232869,0,0,1264.0
siim_009416,1,"[1, 256, 64, 64]",-11.593592,21.400223,0.115727,1.636199,0,0,1264.0
siim_009416,2,"[1, 512, 32, 32]",-515.526550,1080.819092,0.190040,11.832869,0,0,1264.0
siim_009416,3,"[1, 1024, 16, 16]",-517.303101,332.994293,0.002806,11.080351,0,0,1264.0
siim_009693,0,"[1, 128, 128, 128]",-13.373688,8.056716,-0.389541,1.066440,0,0,1241.5
siim_009693,1,"[1, 256, 64, 64]",-10.795045,21.369675,0.109627,1.521740,0,0,1241.5
siim_009693,2,"[1, 512, 32, 32]",-514.759338,1080.051514,0.165609,12.319951,0,0,1241.5
siim_009693,3,"[1, 1024, 16, 16]",-481.224030,293.610962,0.023985,12.108459,0,0,1241.5
siim_009266,0,"[1, 128, 128, 128]",-10.973454,5.760856,-0.591149,1.016280,0,0,1270.1
siim_009266,1,"[1, 256, 64, 64]",-12.184985,20.333347,0.167052,1.529332,0,0,1270.1
siim_009266,2,"[1, 512, 32, 32]",-507.228363,1083.653931,0.179962,10.924185,0,0,1270.1
siim_009266,3,"[1, 1024, 16, 16]",-497.615845,337.321594,-0.014463,11.449371,0,0,1270.1
siim_009079,0,"[1, 128, 128, 128]",-14.021814,6.823297,0.246334,1.147672,0,0,1302.3
siim_009079,1,"[1, 256, 64, 64]",-10.815433,22.116577,-0.086318,1.585543,0,0,1302.3
siim_009079,2,"[1, 512, 32, 32]",-501.336456,1038.434692,0.154141,12.005196,0,0,1302.3
siim_009079,3,"[1, 1024, 16, 16]",-492.235809,318.173859,0.004470,11.863734,0,0,1302.3
siim_009080,0,"[1, 128, 128, 128]",-11.685196,4.980577,-0.476460,0.929762,0,0,1335.2
siim_009080,1,"[1, 256, 64, 64]",-10.604196,20.038841,0.125734,1.494447,0,0,1335.2
siim_009080,2,"[1, 512, 32, 32]",-513.052429,1052.359131,0.181037,10.788908,0,0,1335.2
siim_009080,3,"[1, 1024, 16, 16]",-487.100800,309.148621,-0.016291,12.293854,0,0,1335.2
siim_009085,0,"[1, 128, 128, 128]",-11.850096,8.302790,-0.362062,1.281321,0,0,1242.0
siim_009085,1,"[1, 256, 64, 64]",-11.143307,21.836010,0.093165,1.606552,0,0,1242.0
siim_009085,2,"[1, 512, 32, 32]",-516.143494,1061.271729,0.204623,11.591403,0,0,1242.0
siim_009085,3,"[1, 1024, 16, 16]",-508.968323,304.712982,0.002418,12.598805,0,0,1242.0
siim_009074,0,"[1, 128, 128, 128]",-14.871618,7.221604,-0.250223,1.221881,0,0,1298.1
siim_009074,1,"[1, 256, 64, 64]",-11.739139,19.808567,0.058919,1.622222,0,0,1298.1
siim_009074,2,"[1, 512, 32, 32]",-510.041870,1017.163818,0.149482,11.516541,0,0,1298.1
siim_009074,3,"[1, 1024, 16, 16]",-468.392273,300.807007,0.040938,12.667296,0,0,1298.1
siim_009075,0,"[1, 128, 128, 128]",-14.036930,7.489370,-0.246887,1.151444,0,0,1188.4
siim_009075,1,"[1, 256, 64, 64]",-10.766287,20.885813,0.058190,1.577108,0,0,1188.4
siim_009075,2,"[1, 512, 32, 32]",-492.598511,1061.427246,0.168533,11.814679,0,0,1188.4
siim_009075,3,"[1, 1024, 16, 16]",-482.832855,310.202820,0.025897,12.285357,0,0,1188.4
