param_name,requires_grad,group,grad_present,grad_finite,grad_nonzero,grad_norm_l2
foundation_x.backbone.patch_embed.proj.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.patch_embed.proj.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.patch_embed.norm.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.patch_embed.norm.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.norm1.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.norm1.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.attn.relative_position_bias_table,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.attn.qkv.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.attn.qkv.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.attn.proj.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.attn.proj.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.norm2.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.norm2.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.mlp.fc1.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.mlp.fc1.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.mlp.fc2.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.0.mlp.fc2.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.norm1.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.norm1.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.attn.relative_position_bias_table,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.attn.qkv.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.attn.qkv.bias,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.attn.proj.weight,False,foundation_backbone,False,False,False,0.0
foundation_x.backbone.layers_0.blocks.1.attn.proj.bias,False,foundation_backbone,False,False,False,0.0
