step,case_ids,loss_total,loss_dice_focal,loss_bce_with_logits,prob_min,prob_max,prob_mean,prob_std,prob_nan_count,prob_inf_count,logits_min,logits_max,logits_mean,logits_std,logits_nan_count,logits_inf_count,pred_pos_pixel_ratio,pred_non_empty_rate,grad_norm_l2_total,grad_nonfinite_count,frozen_backbone_grad_present,trainable_non_backbone_grad_present,trainable_non_backbone_grad_nonzero,step_ms
1,siim_000004,1.7671746015548706,1.0282819271087646,0.738892674446106,0.520636260509491,0.5248978734016418,0.522631049156189,0.00047283657477237284,0,0,0.0825919359922409,0.0996740385890007,0.09058622270822525,0.001895250054076314,0,0,1.0,1.0,0.6770080611079088,0,0,90,90,7705.538
2,siim_000001,1.7790683507919312,1.0402992963790894,0.7387690544128418,0.5202809572219849,0.524774968624115,0.5222983956336975,0.00026164294104091823,0,0,0.08116836100816727,0.09918106347322464,0.08925268799066544,0.0010486660758033395,0,0,1.0,1.0,0.7559079894238369,0,0,90,90,7472.887
3,siim_000009,1.7347596883773804,0.9993597269058228,0.7353999614715576,0.5195121169090271,0.5244712233543396,0.5216032862663269,0.00013858528109267354,0,0,0.07808814197778702,0.09796331077814102,0.08646703511476517,0.0005554028321057558,0,0,1.0,1.0,0.6445198117452006,0,0,90,90,7054.842
4,siim_000002,1.7766053676605225,1.0400196313858032,0.736585795879364,0.5192809104919434,0.5233758687973022,0.5212542414665222,0.0002928987087216228,0,0,0.07716192305088043,0.09357167035341263,0.0850682407617569,0.0011737276799976826,0,0,1.0,1.0,0.6547790501688449,0,0,90,90,6865.735
5,siim_000013,1.6901960372924805,0.9589727520942688,0.7312233448028564,0.5194372534751892,0.5230575203895569,0.520504355430603,0.00047432631254196167,0,0,0.07778813689947128,0.09229540079832077,0.08206360042095184,0.0019005421781912446,0,0,1.0,1.0,0.6307806478278017,0,0,90,90,6996.783
6,siim_000003,1.7729194164276123,1.0396027565002441,0.7333167195320129,0.5185016989707947,0.5220909714698792,0.5196864008903503,0.000545259565114975,0,0,0.0740407407283783,0.08842150121927261,0.07878647744655609,0.0021845309529453516,0,0,1.0,1.0,0.7306554398367656,0,0,90,90,7584.76
7,siim_000022,1.7604442834854126,1.027706265449524,0.7327380180358887,0.5188992023468018,0.5217661261558533,0.5196493268013,0.00043672576430253685,0,0,0.07563281804323196,0.08711942285299301,0.0786377415060997,0.0017496950458735228,0,0,1.0,1.0,0.6745274060808549,0,0,90,90,8241.514
8,siim_000005,1.7709121704101562,1.0393768548965454,0.7315352559089661,0.5167711973190308,0.5217790007591248,0.518828809261322,0.0011902269907295704,0,0,0.06710994243621826,0.08717124164104462,0.07535137236118317,0.004767753649502993,0,0,1.0,1.0,0.698048266099999,0,0,90,90,7174.814
9,siim_000023,1.740135669708252,1.011298418045044,0.7288371920585632,0.5161300897598267,0.5216622352600098,0.5180234909057617,0.0012421815190464258,0,0,0.06454292684793472,0.0867030993103981,0.07212585210800171,0.004975534975528717,0,0,1.0,1.0,0.6806491327351646,0,0,90,90,7412.419
10,siim_000006,1.7689517736434937,1.0391566753387451,0.7297950983047485,0.515108048915863,0.5215008854866028,0.517989993095398,0.0014885785058140755,0,0,0.06045074015855789,0.08605654537677765,0.07199154794216156,0.005962015129625797,0,0,1.0,1.0,0.6813207869681863,0,0,90,90,7392.409
11,siim_000028,1.765061378479004,1.0370525121688843,0.7280088663101196,0.5142405033111572,0.5215287208557129,0.5171626806259155,0.0016322701703757048,0,0,0.056977495551109314,0.0861680805683136,0.0686783641576767,0.0065370406955480576,0,0,1.0,1.0,0.6882950184351517,0,0,90,90,6880.82
